event_id,label,start_timestamp,duration,position,receiver_files,receiver_start_time_offset,cc_maxs,tdoas,residual_rms,hawkears_score
CCLO_20250531T063348_1,CCLO,2025-05-31 06:33:48-06:00,3,"[168558.59365513537, 5448697.338661003]","['CCLO_20250531T063348_1_SNAS-G1_S20250531T063221.982136-0600_E20250531T070221.870781-0600_+49.10250-109.54563_resampled.flac', 'CCLO_20250531T063348_1_SNAS-E1_S20250531T063259.477554-0600_E20250531T070259.346217-0600_+49.10190-109.54212_resampled.flac', 'CCLO_20250531T063348_1_SNAS-F1_S20250531T063222.059099-0600_E20250531T070221.933532-0600_+49.10253-109.54571_resampled.flac', 'CCLO_20250531T063348_1_SNAS-F2_S20250531T063254.357326-0600_E20250531T070255.149698-0600_+49.10213-109.54125_resampled.flac', 'CCLO_20250531T063348_1_SNAS-G2_S20250531T063222.119867-0600_E20250531T070221.981095-0600_+49.10248-109.54570_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.010290192440152168, 0.07824583351612091, 0.00809454545378685, 0.021946072578430176]","[0.0, 0.2022060252672498, 0.027897635244574004, 0.16440557175251053, 0.05542597991577586]",13.716252760637747,0.924
CCLO_20250531T063406_1,CCLO,2025-05-31 06:34:06-06:00,3,"[168576.81826728393, 5448893.50163345]","['CCLO_20250531T063406_1_SNAS-D7_S20250531T063225.735656-0600_E20250531T070225.622684-0600_+49.10253-109.54566_resampled.flac', 'CCLO_20250531T063406_1_SNAS-C6_S20250531T063223.688196-0600_E20250531T070223.554846-0600_+49.10252-109.54570_resampled.flac', 'CCLO_20250531T063406_1_SNAS-C7_S20250531T063219.123964-0600_E20250531T070218.984068-0600_+49.10244-109.54567_resampled.flac', 'CCLO_20250531T063406_1_SNAS-D6_S20250531T063214.880225-0600_E20250531T070214.745501-0600_+49.10253-109.54567_resampled.flac', 'CCLO_20250531T063406_1_SNAS-E6_S20250531T063218.508221-0600_E20250531T070218.370405-0600_+49.17620-109.50685_resampled.flac', 'CCLO_20250531T063406_1_SNAS-E7_S20250531T063224.815012-0600_E20250531T070224.691774-0600_+49.10250-109.54570_resampled.flac', 'CCLO_20250531T063406_1_SNAS-F7_S20250531T063220.709951-0600_E20250531T070220.591012-0600_+49.10239-109.54562_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.08994059264659882, 0.008732762187719345, 0.0065139904618263245, 0.007362326607108116, 0.04705166816711426, 0.009145868010818958]","[0.0, -0.13693229672821508, -0.11006154842889536, -0.10146744412050535, -0.09552640103660512, -0.037317784256559766, 0.1470813087139618]",9.767099318270626,0.748
CCLO_20250531T063418_1,CCLO,2025-05-31 06:34:18-06:00,3,"[168482.14859942682, 5448906.74876509]","['CCLO_20250531T063418_1_SNAS-A4_S20250531T063254.391946-0600_E20250531T070254.267787-0600_+49.10359-109.54283_resampled.flac', 'CCLO_20250531T063418_1_SNAS-A3_S20250531T063254.407647-0600_E20250531T070254.257476-0600_+49.10326-109.54315_resampled.flac', 'CCLO_20250531T063418_1_SNAS-A5_S20250531T063254.629953-0600_E20250531T070254.495611-0600_+49.10388-109.54251_resampled.flac', 'CCLO_20250531T063418_1_SNAS-B2_S20250531T063254.962205-0600_E20250531T070254.835868-0600_+49.10288-109.54290_resampled.flac', 'CCLO_20250531T063418_1_SNAS-B5_S20250531T063255.941585-0600_E20250531T070255.800623-0600_+49.10380-109.54193_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.030290788039565086, 0.03464139252901077, 0.025565313175320625, 0.03753320500254631]","[0.0, 0.051729834791059304, 9.718172983480544e-05, 0.09778425655976675, 0.08021056041464208]",13.794722327610181,0.531
CCLO_20250531T063427_1,CCLO,2025-05-31 06:34:27-06:00,3,"[168557.0528698426, 5448701.26147932]","['CCLO_20250531T063427_1_SNAS-G1_S20250531T063221.982136-0600_E20250531T070221.870781-0600_+49.10250-109.54563_resampled.flac', 'CCLO_20250531T063427_1_SNAS-E1_S20250531T063259.477554-0600_E20250531T070259.346217-0600_+49.10190-109.54212_resampled.flac', 'CCLO_20250531T063427_1_SNAS-F1_S20250531T063222.059099-0600_E20250531T070221.933532-0600_+49.10253-109.54571_resampled.flac', 'CCLO_20250531T063427_1_SNAS-F2_S20250531T063254.357326-0600_E20250531T070255.149698-0600_+49.10213-109.54125_resampled.flac', 'CCLO_20250531T063427_1_SNAS-G2_S20250531T063222.119867-0600_E20250531T070221.981095-0600_+49.10248-109.54570_resampled.flac', 'CCLO_20250531T063427_1_SNAS-G3_S20250531T063215.070360-0600_E20250531T070214.914765-0600_+49.10253-109.54570_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.009948113933205605, 0.08282186090946198, 0.007948428392410278, 0.022746121510863304, 0.00900000985711813]","[0.0, 0.09567541302235183, 0.027965662455458395, 0.1987366375121477, 0.0551538710722384, 0.1579656624554584]",15.67961908,0.737
CCLO_20250531T063439_1,CCLO,2025-05-31 06:34:39-06:00,3,"[168464.86761817647, 5448900.500270543]","['CCLO_20250531T063439_1_SNAS-A4_S20250531T063254.391946-0600_E20250531T070254.267787-0600_+49.10359-109.54283_resampled.flac', 'CCLO_20250531T063439_1_SNAS-A3_S20250531T063254.407647-0600_E20250531T070254.257476-0600_+49.10326-109.54315_resampled.flac', 'CCLO_20250531T063439_1_SNAS-A5_S20250531T063254.629953-0600_E20250531T070254.495611-0600_+49.10388-109.54251_resampled.flac', 'CCLO_20250531T063439_1_SNAS-B2_S20250531T063254.962205-0600_E20250531T070254.835868-0600_+49.10288-109.54290_resampled.flac', 'CCLO_20250531T063439_1_SNAS-B3_S20250531T063219.462822-0600_E20250531T070219.318754-0600_+49.10239-109.54568_resampled.flac', 'CCLO_20250531T063439_1_SNAS-B4_S20250531T063220.435108-0600_E20250531T070222.350016-0600_+49.10227-109.54563_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.010372219607234001, 0.013591551221907139, 0.010357484221458435, 0.008925299160182476, 0.008555181324481964]","[0.0, 0.05850988014253322, 0.09619695497246517, 0.10476838354389378, 0.04134434726271463, 0.0706187236799482]",4.914741437081944,0.508
CCLO_20250531T063442_1,CCLO,2025-05-31 06:34:42-06:00,3,"[168488.302308266, 5448883.587174855]","['CCLO_20250531T063442_1_SNAS-A4_S20250531T063254.391946-0600_E20250531T070254.267787-0600_+49.10359-109.54283_resampled.flac', 'CCLO_20250531T063442_1_SNAS-A3_S20250531T063254.407647-0600_E20250531T070254.257476-0600_+49.10326-109.54315_resampled.flac', 'CCLO_20250531T063442_1_SNAS-A5_S20250531T063254.629953-0600_E20250531T070254.495611-0600_+49.10388-109.54251_resampled.flac', 'CCLO_20250531T063442_1_SNAS-B2_S20250531T063254.962205-0600_E20250531T070254.835868-0600_+49.10288-109.54290_resampled.flac', 'CCLO_20250531T063442_1_SNAS-B5_S20250531T063255.941585-0600_E20250531T070255.800623-0600_+49.10380-109.54193_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.09277096390724182, 0.07579107582569122, 0.1330091506242752, 0.03492289036512375]","[0.0, 5.183025591190549e-05, 0.09873663751214773, 0.05542597991577586, 0.09433754454162618]",6.719213400475326,0.903
CCLO_20250531T063457_1,CCLO,2025-05-31 06:34:57-06:00,3,"[168582.0552004308, 5448731.753102676]","['CCLO_20250531T063457_1_SNAS-G2_S20250531T063222.119867-0600_E20250531T070221.981095-0600_+49.10248-109.54570_resampled.flac', 'CCLO_20250531T063457_1_SNAS-F1_S20250531T063222.059099-0600_E20250531T070221.933532-0600_+49.10253-109.54571_resampled.flac', 'CCLO_20250531T063457_1_SNAS-F3_S20250531T063214.878421-0600_E20250531T070214.740863-0600_+49.10256-109.54571_resampled.flac', 'CCLO_20250531T063457_1_SNAS-G1_S20250531T063221.982136-0600_E20250531T070221.870781-0600_+49.10250-109.54563_resampled.flac', 'CCLO_20250531T063457_1_SNAS-G4_S20250531T063216.296831-0600_E20250531T070217.465958-0600_+49.10255-109.54567_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.022332463413476944, 0.007286228239536285, 0.021436993032693863, 0.007282379548996687]","[0.0, 0.10166180758017496, 0.07383867832847424, 0.01755749919015226, 0.22846452866861033]",19.626996442846007,0.459
CCLO_20250531T063503_1,CCLO,2025-05-31 06:35:03-06:00,3,"[168551.73754952892, 5448933.585416071]","['CCLO_20250531T063503_1_SNAS-D4_S20250531T063224.721574-0600_E20250531T070224.609425-0600_+49.10255-109.54565_resampled.flac', 'CCLO_20250531T063503_1_SNAS-B4_S20250531T063220.435108-0600_E20250531T070222.350016-0600_+49.10227-109.54563_resampled.flac', 'CCLO_20250531T063503_1_SNAS-C4_S20250531T063216.413021-0600_E20250531T070218.315182-0600_+49.10253-109.54564_resampled.flac', 'CCLO_20250531T063503_1_SNAS-C6_S20250531T063223.688196-0600_E20250531T070223.554846-0600_+49.10252-109.54570_resampled.flac', 'CCLO_20250531T063503_1_SNAS-D5_S20250531T063254.789968-0600_E20250531T070254.651913-0600_+49.10342-109.54109_resampled.flac', 'CCLO_20250531T063503_1_SNAS-E5_S20250531T063217.567507-0600_E20250531T070217.443847-0600_+49.10252-109.54569_resampled.flac', 'CCLO_20250531T063503_1_SNAS-E6_S20250531T063218.508221-0600_E20250531T070218.370405-0600_+49.17620-109.50685_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.007975419983267784, 0.007342714816331863, 0.028400558978319168, 0.008457373827695847, 0.007625014986842871, 0.008827513083815575]","[0.0, -0.14847424684159377, -0.03430191124068674, -0.1108325234855847, -0.0944606413994169, 0.16846452866861034, 0.06050534499514093]",18.08979713698612,0.813
CCLO_20250531T063521_1,CCLO,2025-05-31 06:35:21-06:00,3,"[168488.8084160251, 5448822.198367277]","['CCLO_20250531T063521_1_SNAS-A2_S20250531T063225.618888-0600_E20250531T070225.492926-0600_+49.10232-109.54562_resampled.flac', 'CCLO_20250531T063521_1_SNAS-A1_S20250531T063254.569804-0600_E20250531T070254.451319-0600_+49.10268-109.54380_resampled.flac', 'CCLO_20250531T063521_1_SNAS-A3_S20250531T063254.407647-0600_E20250531T070254.257476-0600_+49.10326-109.54315_resampled.flac', 'CCLO_20250531T063521_1_SNAS-B1_S20250531T063254.170384-0600_E20250531T070254.045189-0600_+49.10260-109.54325_resampled.flac', 'CCLO_20250531T063521_1_SNAS-B2_S20250531T063254.962205-0600_E20250531T070254.835868-0600_+49.10288-109.54290_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.008612622506916523, 0.009657904505729675, 0.010098472237586975, 0.0117047019302845]","[0.0, 0.09574344023323617, -0.004732750242954303, -0.08151279559442823, -0.15187560738581146]",7.503221900048756,0.499
CCLO_20250531T063600_1,CCLO,2025-05-31 06:36:00-06:00,3,"[168453.9973111783, 5448889.117192397]","['CCLO_20250531T063600_1_SNAS-B2_S20250531T063254.962205-0600_E20250531T070254.835868-0600_+49.10288-109.54290_resampled.flac', 'CCLO_20250531T063600_1_SNAS-A1_S20250531T063254.569804-0600_E20250531T070254.451319-0600_+49.10268-109.54380_resampled.flac', 'CCLO_20250531T063600_1_SNAS-A3_S20250531T063254.407647-0600_E20250531T070254.257476-0600_+49.10326-109.54315_resampled.flac', 'CCLO_20250531T063600_1_SNAS-A4_S20250531T063254.391946-0600_E20250531T070254.267787-0600_+49.10359-109.54283_resampled.flac', 'CCLO_20250531T063600_1_SNAS-B1_S20250531T063254.170384-0600_E20250531T070254.045189-0600_+49.10260-109.54325_resampled.flac', 'CCLO_20250531T063600_1_SNAS-C4_S20250531T063216.413021-0600_E20250531T070218.315182-0600_+49.10253-109.54564_resampled.flac', 'CCLO_20250531T063600_1_SNAS-D2_S20250531T063214.649231-0600_E20250531T070214.518688-0600_+49.10251-109.54577_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.1312980204820633, 0.09721232205629349, 0.13984894752502441, 0.056633055210113525, 0.00733225978910923, 0.0075106327421963215]","[0.0, 0.11769355361192096, -0.05593456430191124, -0.05545837382572075, -0.015503725299643667, 0.03125364431486882, 0.15993845157110465]",17.21758100662669,0.865
CCLO_20250531T063609_1,CCLO,2025-05-31 06:36:09-06:00,3,"[168574.43208716024, 5448765.83858741]","['CCLO_20250531T063609_1_SNAS-G1_S20250531T063221.982136-0600_E20250531T070221.870781-0600_+49.10250-109.54563_resampled.flac', 'CCLO_20250531T063609_1_SNAS-E1_S20250531T063259.477554-0600_E20250531T070259.346217-0600_+49.10190-109.54212_resampled.flac', 'CCLO_20250531T063609_1_SNAS-F2_S20250531T063254.357326-0600_E20250531T070255.149698-0600_+49.10213-109.54125_resampled.flac', 'CCLO_20250531T063609_1_SNAS-G2_S20250531T063222.119867-0600_E20250531T070221.981095-0600_+49.10248-109.54570_resampled.flac', 'CCLO_20250531T063609_1_SNAS-G3_S20250531T063215.070360-0600_E20250531T070214.914765-0600_+49.10253-109.54570_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.009268594905734062, 0.007780053187161684, 0.030219752341508865, 0.007859570905566216]","[0.0, -0.017340459993521212, -0.15407515387107223, -0.06348558471007448, -0.12153547133138969]",8.921336470898792,0.405
CCLO_20250531T063630_1,CCLO,2025-05-31 06:36:30-06:00,3,"[168529.8923115638, 5448788.635353501]","['CCLO_20250531T063630_1_SNAS-E1_S20250531T063259.477554-0600_E20250531T070259.346217-0600_+49.10190-109.54212_resampled.flac', 'CCLO_20250531T063630_1_SNAS-C1_S20250531T063224.535331-0600_E20250531T070224.399226-0600_+49.10229-109.54288_resampled.flac', 'CCLO_20250531T063630_1_SNAS-E3_S20250531T063256.933236-0600_E20250531T070256.827706-0600_+49.10255-109.54148_resampled.flac', 'CCLO_20250531T063630_1_SNAS-F1_S20250531T063222.059099-0600_E20250531T070221.933532-0600_+49.10253-109.54571_resampled.flac', 'CCLO_20250531T063630_1_SNAS-F2_S20250531T063254.357326-0600_E20250531T070255.149698-0600_+49.10213-109.54125_resampled.flac', 'CCLO_20250531T063630_1_SNAS-G1_S20250531T063221.982136-0600_E20250531T070221.870781-0600_+49.10250-109.54563_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.009528271853923798, 0.013297513127326965, 0.007519417908042669, 0.007727887947112322, 0.009487977251410484]","[0.0, 0.03161645610625202, -0.19400712666018788, 0.08746679624230647, -0.00015225137674115818, 0.2022060252672498]",19.02032299027855,0.608
CCLO_20250531T063636_1,CCLO,2025-05-31 06:36:36-06:00,3,"[168437.20268077272, 5448882.59911927]","['CCLO_20250531T063636_1_SNAS-A4_S20250531T063254.391946-0600_E20250531T070254.267787-0600_+49.10359-109.54283_resampled.flac', 'CCLO_20250531T063636_1_SNAS-A3_S20250531T063254.407647-0600_E20250531T070254.257476-0600_+49.10326-109.54315_resampled.flac', 'CCLO_20250531T063636_1_SNAS-B2_S20250531T063254.962205-0600_E20250531T070254.835868-0600_+49.10288-109.54290_resampled.flac', 'CCLO_20250531T063636_1_SNAS-B3_S20250531T063219.462822-0600_E20250531T070219.318754-0600_+49.10239-109.54568_resampled.flac', 'CCLO_20250531T063636_1_SNAS-B4_S20250531T063220.435108-0600_E20250531T070222.350016-0600_+49.10227-109.54563_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.018869668245315552, 0.01609363965690136, 0.009566841647028923, 0.007704096380621195]","[0.0, -0.0971137026239067, 0.014042759961127332, 0.007172011661807587, 0.2002332361516035]",17.357627447879317,0.657
CCLO_20250531T063727_1,CCLO,2025-05-31 06:37:27-06:00,3,"[168505.81754431187, 5448884.357760819]","['CCLO_20250531T063727_1_SNAS-A4_S20250531T063254.391946-0600_E20250531T070254.267787-0600_+49.10359-109.54283_resampled.flac', 'CCLO_20250531T063727_1_SNAS-A3_S20250531T063254.407647-0600_E20250531T070254.257476-0600_+49.10326-109.54315_resampled.flac', 'CCLO_20250531T063727_1_SNAS-A5_S20250531T063254.629953-0600_E20250531T070254.495611-0600_+49.10388-109.54251_resampled.flac', 'CCLO_20250531T063727_1_SNAS-B2_S20250531T063254.962205-0600_E20250531T070254.835868-0600_+49.10288-109.54290_resampled.flac', 'CCLO_20250531T063727_1_SNAS-B3_S20250531T063219.462822-0600_E20250531T070219.318754-0600_+49.10239-109.54568_resampled.flac', 'CCLO_20250531T063727_1_SNAS-B5_S20250531T063255.941585-0600_E20250531T070255.800623-0600_+49.10380-109.54193_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.027864735573530197, 0.048528432846069336, 0.013713961467146873, 0.007719979155808687, 0.03525284677743912]","[0.0, 0.09941690962099126, -0.06883705863297698, 0.011253644314868805, -0.0591998704243602, 0.06812439261418857]",19.367204277982978,0.74
CCLO_20250531T063754_1,CCLO,2025-05-31 06:37:54-06:00,3,"[168449.85332997763, 5448924.322943149]","['CCLO_20250531T063754_1_SNAS-A4_S20250531T063254.391946-0600_E20250531T070254.267787-0600_+49.10359-109.54283_resampled.flac', 'CCLO_20250531T063754_1_SNAS-A3_S20250531T063254.407647-0600_E20250531T070254.257476-0600_+49.10326-109.54315_resampled.flac', 'CCLO_20250531T063754_1_SNAS-A5_S20250531T063254.629953-0600_E20250531T070254.495611-0600_+49.10388-109.54251_resampled.flac', 'CCLO_20250531T063754_1_SNAS-B2_S20250531T063254.962205-0600_E20250531T070254.835868-0600_+49.10288-109.54290_resampled.flac', 'CCLO_20250531T063754_1_SNAS-B3_S20250531T063219.462822-0600_E20250531T070219.318754-0600_+49.10239-109.54568_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.020189914852380753, 0.032012924551963806, 0.02068641223013401, 0.007912389934062958]","[0.0, 0.023249109167476523, 0.046514415289925504, 0.22234207968901848, 0.09447359896339491]",11.868420794266877,0.516
CCLO_20250531T063815_1,CCLO,2025-05-31 06:38:15-06:00,3,"[168565.63626220665, 5448770.032297358]","['CCLO_20250531T063815_1_SNAS-G4_S20250531T063216.296831-0600_E20250531T070217.465958-0600_+49.10255-109.54567_resampled.flac', 'CCLO_20250531T063815_1_SNAS-E4_S20250531T063213.233789-0600_E20250531T070213.101883-0600_+49.10252-109.54568_resampled.flac', 'CCLO_20250531T063815_1_SNAS-F2_S20250531T063254.357326-0600_E20250531T070255.149698-0600_+49.10213-109.54125_resampled.flac', 'CCLO_20250531T063815_1_SNAS-G2_S20250531T063222.119867-0600_E20250531T070221.981095-0600_+49.10248-109.54570_resampled.flac', 'CCLO_20250531T063815_1_SNAS-G3_S20250531T063215.070360-0600_E20250531T070214.914765-0600_+49.10253-109.54570_resampled.flac', 'CCLO_20250531T063815_1_SNAS-G6_S20250531T063254.506215-0600_E20250531T070254.369326-0600_+49.10297-109.53967_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.008559647016227245, 0.008219566196203232, 0.009774204343557358, 0.010195167735219002, 0.009896818548440933]","[0.0, -0.04155814706835115, -0.12899578879170714, -0.0371590540978296, -0.13135406543569808, 0.20057337220602528]",12.840252544557373,0.755
CCLO_20250531T063833_1,CCLO,2025-05-31 06:38:33-06:00,3,"[168586.5453447364, 5449019.649129049]","['CCLO_20250531T063833_1_SNAS-B6_S20250531T063254.270415-0600_E20250531T070254.156433-0600_+49.10409-109.54164_resampled.flac', 'CCLO_20250531T063833_1_SNAS-A5_S20250531T063254.629953-0600_E20250531T070254.495611-0600_+49.10388-109.54251_resampled.flac', 'CCLO_20250531T063833_1_SNAS-A6_S20250531T063254.432107-0600_E20250531T070254.305175-0600_+49.10418-109.54220_resampled.flac', 'CCLO_20250531T063833_1_SNAS-A7_S20250531T063254.048292-0600_E20250531T070253.923298-0600_+49.10448-109.54185_resampled.flac', 'CCLO_20250531T063833_1_SNAS-B5_S20250531T063255.941585-0600_E20250531T070255.800623-0600_+49.10380-109.54193_resampled.flac', 'CCLO_20250531T063833_1_SNAS-B7_S20250531T063253.650218-0600_E20250531T070253.511751-0600_+49.10438-109.54125_resampled.flac', 'CCLO_20250531T063833_1_SNAS-C6_S20250531T063223.688196-0600_E20250531T070223.554846-0600_+49.10252-109.54570_resampled.flac', 'CCLO_20250531T063833_1_SNAS-C7_S20250531T063219.123964-0600_E20250531T070218.984068-0600_+49.10244-109.54567_resampled.flac', 'CCLO_20250531T063833_1_SNAS-D6_S20250531T063214.880225-0600_E20250531T070214.745501-0600_+49.10253-109.54567_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.025899814441800117, 0.03107125125825405, 0.024652492254972458, 0.011130282655358315, 0.03736257180571556, 0.009195622056722641, 0.007973609492182732, 0.007181086577475071]","[0.0, 0.19993845157110463, 0.07615160349854228, -0.07387107223841916, 0.12932620667314548, -0.1946873987690314, 0.1361062520246194, 0.02374797538062845, 0.10653709102688697]",11.590108434965645,0.812
CCLO_20250531T063909_1,CCLO,2025-05-31 06:39:09-06:00,3,"[168578.94635159394, 5448987.987652993]","['CCLO_20250531T063909_1_SNAS-A7_S20250531T063254.048292-0600_E20250531T070253.923298-0600_+49.10448-109.54185_resampled.flac', 'CCLO_20250531T063909_1_SNAS-A6_S20250531T063254.432107-0600_E20250531T070254.305175-0600_+49.10418-109.54220_resampled.flac', 'CCLO_20250531T063909_1_SNAS-B5_S20250531T063255.941585-0600_E20250531T070255.800623-0600_+49.10380-109.54193_resampled.flac', 'CCLO_20250531T063909_1_SNAS-B6_S20250531T063254.270415-0600_E20250531T070254.156433-0600_+49.10409-109.54164_resampled.flac', 'CCLO_20250531T063909_1_SNAS-B7_S20250531T063253.650218-0600_E20250531T070253.511751-0600_+49.10438-109.54125_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.035826675593853, 0.023398425430059433, 0.024906273931264877, 0.036206476390361786]","[0.0, 0.10043731778425657, 0.15234207968901847, -0.028655652737285375, -0.16149011985746678]",18.66205722490067,0.914
CCLO_20250531T063933_1,CCLO,2025-05-31 06:39:33-06:00,3,"[168562.38347047765, 5448982.595915968]","['CCLO_20250531T063933_1_SNAS-A7_S20250531T063254.048292-0600_E20250531T070253.923298-0600_+49.10448-109.54185_resampled.flac', 'CCLO_20250531T063933_1_SNAS-A6_S20250531T063254.432107-0600_E20250531T070254.305175-0600_+49.10418-109.54220_resampled.flac', 'CCLO_20250531T063933_1_SNAS-B5_S20250531T063255.941585-0600_E20250531T070255.800623-0600_+49.10380-109.54193_resampled.flac', 'CCLO_20250531T063933_1_SNAS-B6_S20250531T063254.270415-0600_E20250531T070254.156433-0600_+49.10409-109.54164_resampled.flac', 'CCLO_20250531T063933_1_SNAS-B7_S20250531T063253.650218-0600_E20250531T070253.511751-0600_+49.10438-109.54125_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.04592267796397209, 0.06011601537466049, 0.0471196249127388, 0.07132811099290848]","[0.0, 0.03490443796566245, 0.15055069646906383, -0.07965338516358925, -0.11266925817946224]",19.822086250386874,0.542
CCLO_20250531T064003_1,CCLO,2025-05-31 06:40:03-06:00,3,"[168486.95538650858, 5448917.6822935715]","['CCLO_20250531T064003_1_SNAS-A4_S20250531T063254.391946-0600_E20250531T070254.267787-0600_+49.10359-109.54283_resampled.flac', 'CCLO_20250531T064003_1_SNAS-A3_S20250531T063254.407647-0600_E20250531T070254.257476-0600_+49.10326-109.54315_resampled.flac', 'CCLO_20250531T064003_1_SNAS-A5_S20250531T063254.629953-0600_E20250531T070254.495611-0600_+49.10388-109.54251_resampled.flac', 'CCLO_20250531T064003_1_SNAS-B2_S20250531T063254.962205-0600_E20250531T070254.835868-0600_+49.10288-109.54290_resampled.flac', 'CCLO_20250531T064003_1_SNAS-B3_S20250531T063219.462822-0600_E20250531T070219.318754-0600_+49.10239-109.54568_resampled.flac', 'CCLO_20250531T064003_1_SNAS-B5_S20250531T063255.941585-0600_E20250531T070255.800623-0600_+49.10380-109.54193_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.023130811750888824, 0.05368662625551224, 0.025993587449193, 0.007950687780976295, 0.05464192479848862]","[0.0, 0.07458697764820216, -0.019585357952704885, 0.15288629737609333, 0.03340783932620667, 0.055494007126660194]",9.027157761951393,0.485
CCLO_20250531T064006_1,CCLO,2025-05-31 06:40:06-06:00,3,"[168562.5065271363, 5448982.623327543]","['CCLO_20250531T064006_1_SNAS-A7_S20250531T063254.048292-0600_E20250531T070253.923298-0600_+49.10448-109.54185_resampled.flac', 'CCLO_20250531T064006_1_SNAS-A6_S20250531T063254.432107-0600_E20250531T070254.305175-0600_+49.10418-109.54220_resampled.flac', 'CCLO_20250531T064006_1_SNAS-B5_S20250531T063255.941585-0600_E20250531T070255.800623-0600_+49.10380-109.54193_resampled.flac', 'CCLO_20250531T064006_1_SNAS-B6_S20250531T063254.270415-0600_E20250531T070254.156433-0600_+49.10409-109.54164_resampled.flac', 'CCLO_20250531T064006_1_SNAS-B7_S20250531T063253.650218-0600_E20250531T070253.511751-0600_+49.10438-109.54125_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.05369240790605545, 0.06380261480808258, 0.06539393961429596, 0.03566174954175949]","[0.0, 0.03542597991577584, 0.15009718172983483, -0.07938127632005182, -0.1126012309685779]",19.70562159864808,0.532
CCLO_20250531T064048_1,CCLO,2025-05-31 06:40:48-06:00,3,"[168474.31054792795, 5448870.649692747]","['CCLO_20250531T064048_1_SNAS-A4_S20250531T063254.391946-0600_E20250531T070254.267787-0600_+49.10359-109.54283_resampled.flac', 'CCLO_20250531T064048_1_SNAS-A3_S20250531T063254.407647-0600_E20250531T070254.257476-0600_+49.10326-109.54315_resampled.flac', 'CCLO_20250531T064048_1_SNAS-A5_S20250531T063254.629953-0600_E20250531T070254.495611-0600_+49.10388-109.54251_resampled.flac', 'CCLO_20250531T064048_1_SNAS-B2_S20250531T063254.962205-0600_E20250531T070254.835868-0600_+49.10288-109.54290_resampled.flac', 'CCLO_20250531T064048_1_SNAS-B4_S20250531T063220.435108-0600_E20250531T070222.350016-0600_+49.10227-109.54563_resampled.flac', 'CCLO_20250531T064048_1_SNAS-B5_S20250531T063255.941585-0600_E20250531T070255.800623-0600_+49.10380-109.54193_resampled.flac']","[3.5, 3.5, 3.5, 3.5, 3.5, 3.5]","[1.0, 0.023204609751701355, 0.02239222824573517, 0.019651148468255997, 0.008094875141978264, 0.01391583401709795]","[0.0, -0.00407515387107224, 0.0656754130223518, -0.017612568837058612, 0.00649173955296406, 0.0801425332037577]",7.672474390555946,0.546
